"eenheid","label"
"http://data.lblod.info/id/bestuurseenheden/7964584de2575c7e0aefee4a2b87b28efe1cd0a3077fa750ca75e37e9afec485","Lint"
"http://data.lblod.info/id/bestuurseenheden/d4f223303e1f925ebcab3bf7d42be9ab847aa5ec413d64139c5ebb76a15d7d73","Mortsel"
"http://data.lblod.info/id/bestuurseenheden/55703854f4eb9eaa206e9dd32e4c8a4475f258c499ac2f712f0778b77c342e1e","De Panne"
"http://data.lblod.info/id/bestuurseenheden/f2a9a2392d5e4c0f992a84a0871d048a7b91b14681e9980a63aa6ba4b1f7eb8c","Moerbeke"
"http://data.lblod.info/id/bestuurseenheden/0f90ca7e2a59ef6eb584179f7d6503661f7ce3c1c1096fbf3d3a8d0b4b07d51f","Bever"
"http://data.lblod.info/id/bestuurseenheden/708128d3128fb87ca50371ea08b3778d5faced46dcc4c42e034f101e1b7b474a","Wervik"
"http://data.lblod.info/id/bestuurseenheden/acdeb7c6328dd534dc7a13c9e5cb0f46654ba89d062f2d4d957d8e5e898fdde4","Zedelgem"
"http://data.lblod.info/id/bestuurseenheden/19673274e30b682be3dd3178352611aa26c28ea8907fd4990ff69e01af7019f6","Kruishoutem"
"http://data.lblod.info/id/bestuurseenheden/93746445b8e49813e27e0d07459a2dac0d8d4aafb85d87662addecb3644c6c02","Ranst"
"http://data.lblod.info/id/bestuurseenheden/82d4abaad7dd3d7a48545f48391e64eb7ec6975072927b36edf8e8eb34980502","As"
"http://data.lblod.info/id/bestuurseenheden/73dfd8ed3023297f71f6c4ef833e515e7caa3e4a10c9caa032576cdf26c478fd","Oudenaarde"
"http://data.lblod.info/id/bestuurseenheden/5bcbe1dcc6bd42354ce05e87c56a09a0e62c2fb67a4e6def59a30d40b1d70e4b","Lo-Reninge"
"http://data.lblod.info/id/bestuurseenheden/f10e9ae6368cf490e3b390772664ab6e995ac6605f6806b29c8eb52d937758ac","Bree"
"http://data.lblod.info/id/bestuurseenheden/986bc8bd29af2847bdaa104fe5ff052201032f3e5b95d7b2ae3a3c5486842a94","Hamme"
"http://data.lblod.info/id/bestuurseenheden/8726a8c00a0febfa0944a3674145905d03f49dc3583d14d27b3ec60ea7a05f99","Heist-op-den-Berg"
"http://data.lblod.info/id/bestuurseenheden/6eb1ec0b01bd5d9b9368d7bf5dd1ebad6a73679a24a673e04fb88a66362e2f03","Heuvelland"
"http://data.lblod.info/id/bestuurseenheden/04a7284b099f5d7ab986209789ba663224c6fa6270e8c82c4d9a58979869d0a1","Zutendaal"
"http://data.lblod.info/id/bestuurseenheden/6011a5d8acde95d23f021cb53d31fa95d75391ce404466c65757c641d6207f63","Rotselaar"
"http://data.lblod.info/id/bestuurseenheden/56061c5a09c4e4fab34edffa2585bd47b5c104edea687e409a9a926b2197850d","Blankenberge"
"http://data.lblod.info/id/bestuurseenheden/848084c89eca07d30d0bd8e5c8611c079e1989dd30535c19f3d1e7b07da05be1","Kontich"
"http://data.lblod.info/id/bestuurseenheden/d52bb1ae601fa75cfdd9d1a2208545a96b219ea29a49bb8d8bcbd10614607923","Kalmthout"
"http://data.lblod.info/id/bestuurseenheden/eb33e645ecfec12a9f701cc21db2d919242d9c94812a7b5550e158fd28d8cd9c","Stekene"
